,target,feature_2,feature_13,feature_11,feature_9,feature_14,feature_7,feature_0,feature_10,feature_6,feature_18,feature_12,feature_5,feature_16,feature_8,feature_17,feature_15,feature_19,feature_3,feature_1,feature_4
target,1.0,0.5640203268,0.4489156321,0.3507290886,0.3313735822,0.064365294,0.0568587142,0.0533881172,0.0526972528,0.0426071661,0.0327544505,0.0247126777,0.0181764549,0.0074035364,0.0057356494,-0.0032794892,-0.0088306104,-0.0366648421,-0.0404396568,-0.0588268303,-0.0922052495
feature_2,0.5640203268,1.0,0.0722419811,0.049782458,-0.029975907,0.0282821041,0.1035373405,0.0221978598,0.0128022378,0.0301346026,-0.0076098687,-0.0181057094,0.0704006377,-0.0180308979,-0.0260673714,0.035995548,0.0239962274,-0.0109751328,-0.0272355213,-0.0455143703,-0.0457554294
feature_13,0.4489156321,0.0722419811,1.0,0.0504009934,-0.0205497227,0.049627323,0.0011289322,0.0570018449,0.0224643011,-0.0054739228,0.0904294541,0.0319337915,0.0249483351,0.0657798643,0.074118115,0.0289518297,-0.0753861909,-0.0107450602,-0.0241201897,-0.0455505259,-0.0122812938
feature_11,0.3507290886,0.049782458,0.0504009934,1.0,-0.035033972,-0.0216428544,0.0379923373,0.0455657766,0.022794661,0.0199658593,-0.0233499672,-0.0081441906,-0.1104250917,-0.0370375208,0.0078066734,-0.0180754663,-0.0071825284,-0.0243783371,-0.0754083138,-0.0323371322,-0.0797886354
feature_9,0.3313735822,-0.029975907,-0.0205497227,-0.035033972,1.0,8.68117e-05,-0.0059030915,0.0349663788,0.0619598684,0.0441447149,-0.0077325673,0.0015077955,0.0095576441,-0.0114580465,-0.0249349819,0.0300428963,-0.025648418,-0.0174334122,-0.0486306952,-0.0044519192,-0.0542448862
feature_14,0.064365294,0.0282821041,0.049627323,-0.0216428544,8.68117e-05,1.0,0.0611376893,0.0304857725,-0.0329309098,-0.0677527802,0.0102931549,0.0098276229,-0.0060767097,0.010272001,-0.0328587543,0.0196420229,-0.0065290781,-0.0482345648,0.0071740066,-0.0119013849,0.0519009579
feature_7,0.0568587142,0.1035373405,0.0011289322,0.0379923373,-0.0059030915,0.0611376893,1.0,-0.0056179325,-0.0082246563,-0.0054212589,-0.030340723,0.0157024797,0.0244513897,0.0209770347,-0.0519094082,-0.0382549162,0.0037770985,0.0286342588,-0.036080749,0.0324313381,0.0532483761
feature_0,0.0533881172,0.0221978598,0.0570018449,0.0455657766,0.0349663788,0.0304857725,-0.0056179325,1.0,-0.0337888623,0.0481244236,-0.0439144115,-0.0461462944,0.0120412225,-0.0628908461,-0.048100141,-0.0323788057,-0.0229838758,-0.0158299743,-0.0570635146,-0.0430233261,-0.0570515012
feature_10,0.0526972528,0.0128022378,0.0224643011,0.022794661,0.0619598684,-0.0329309098,-0.0082246563,-0.0337888623,1.0,0.0111491884,-0.0218994665,0.0079037179,-0.0698316265,0.0159304244,-0.0320265571,-0.0122334552,0.0561376258,0.0010739936,0.0438475216,-0.1022138154,-0.0277212929
feature_6,0.0426071661,0.0301346026,-0.0054739228,0.0199658593,0.0441447149,-0.0677527802,-0.0054212589,0.0481244236,0.0111491884,1.0,-0.0685556006,-0.0347820013,-0.0261422677,-0.0186029675,0.0217501295,0.0427661882,0.0080793608,0.0144663045,0.0106448235,0.0549219429,0.021949081
