,target,feature_2,feature_13,feature_11,feature_9,feature_7,feature_14,feature_18,feature_10,feature_0,feature_6,feature_12,feature_5,feature_16,feature_8,feature_17,feature_15,feature_3,feature_19,feature_1,feature_4
target,1.0,0.5695525562,0.4232223445,0.3451863883,0.3236596587,0.0682298009,0.0666713164,0.0570713687,0.0523091071,0.0483406091,0.0396730762,0.0230370014,0.020785122,0.003713801,0.0018980388,-0.004559613,-0.0091323964,-0.0336626506,-0.0348991997,-0.0538230812,-0.0914491896
feature_2,0.5695525562,1.0,0.064102629,0.0433048493,-0.0264047889,0.1058544404,0.0259870604,-0.0131681868,0.0080420006,0.0158071392,0.0261849962,-0.0233990744,0.0692578538,-0.0129151713,-0.034550014,0.025722348,0.0268679163,-0.032738148,-0.0108740421,-0.0389380557,-0.0469111486
feature_13,0.4232223445,0.064102629,1.0,0.0389520395,-0.0192615179,0.0091661808,0.0386293164,0.0973964878,0.0291763795,0.0613812904,-0.0013952135,0.028185365,0.0350677505,0.0566301498,0.0581363289,0.0300355736,-0.074544577,-0.0192439694,0.0069384154,-0.0482467183,-0.0127156764
feature_11,0.3451863883,0.0433048493,0.0389520395,1.0,-0.0448810595,0.0337559041,-0.018557559,-0.0252664172,0.023894292,0.0426788534,0.0172296794,-0.0120831048,-0.1105621154,-0.0328857688,0.0081877272,-0.0228389309,0.0004334048,-0.0703311965,-0.0186000707,-0.0317411653,-0.0859723489
feature_9,0.3236596587,-0.0264047889,-0.0192615179,-0.0448810595,1.0,0.0145959341,-0.001708836,-0.0106404015,0.0632155849,0.034929778,0.0332135867,0.0020884313,0.0095509207,-0.0128503614,-0.0262854462,0.0236330123,-0.0221585445,-0.043082362,-0.0170897487,-0.0014391037,-0.055768119
feature_7,0.0682298009,0.1058544404,0.0091661808,0.0337559041,0.0145959341,1.0,0.059752708,-0.0337238499,-0.022257879,-0.0144292348,-0.0005049764,0.0075547662,0.0371552413,0.0151878299,-0.0499493937,-0.0385899977,0.0177142958,-0.0420095185,0.0251487012,0.0334480791,0.0511672463
feature_14,0.0666713164,0.0259870604,0.0386293164,-0.018557559,-0.001708836,0.059752708,1.0,0.0056589759,-0.0418272379,0.0239360675,-0.0666377831,0.0054975893,0.0030082488,0.0067999365,-0.026070234,0.017839776,-0.0138571649,0.009508086,-0.0493974955,-0.0089601298,0.0600835116
feature_18,0.0570713687,-0.0131681868,0.0973964878,-0.0252664172,-0.0106404015,-0.0337238499,0.0056589759,1.0,-0.0172533137,-0.0584390954,-0.0676845495,0.0679058064,-0.0924333186,-0.0459498063,0.0653956062,0.048528126,-0.0207352569,0.0235813074,-0.0290608418,0.0197144027,-0.0426949742
feature_10,0.0523091071,0.0080420006,0.0291763795,0.023894292,0.0632155849,-0.022257879,-0.0418272379,-0.0172533137,1.0,-0.0260513489,0.0080086635,0.0097741059,-0.0680331847,0.0138846251,-0.0263641319,-0.0158466867,0.0565182905,0.0416870291,-0.0136677506,-0.0999832783,-0.0182020602
feature_0,0.0483406091,0.0158071392,0.0613812904,0.0426788534,0.034929778,-0.0144292348,0.0239360675,-0.0584390954,-0.0260513489,1.0,0.0500583016,-0.0549861378,0.0141431474,-0.0607506928,-0.0400999106,-0.0332138481,-0.0162924535,-0.0587266489,-0.0103815152,-0.0428449644,-0.0611723198
feature_6,0.0396730762,0.0261849962,-0.0013952135,0.0172296794,0.0332135867,-0.0005049764,-0.0666377831,-0.0676845495,0.0080086635,0.0500583016,1.0,-0.0280663767,-0.0237655976,-0.029423493,0.0164156407,0.0473196003,0.0122340982,0.011270586,0.0219626027,0.0522565017,0.0210606066
