,train,train_minmax,train_standard,train_boxcox,train_yeojohnson
feature_0,10,10,10,8,8
feature_1,20,20,20,20,20
feature_10,9,9,9,9,9
feature_11,4,4,4,4,4
feature_12,12,12,12,12,12
feature_13,3,3,3,3,3
feature_14,7,7,7,6,6
feature_15,17,17,17,17,17
feature_16,14,14,14,14,14
feature_17,16,16,16,16,16
feature_18,8,8,8,11,11
feature_19,19,19,19,18,18
feature_2,2,2,2,2,2
feature_3,18,18,18,19,19
feature_4,21,21,21,21,21
feature_5,13,13,13,13,13
feature_6,11,11,11,10,10
feature_7,6,6,6,7,7
feature_8,15,15,15,15,15
feature_9,5,5,5,5,5
target,1,1,1,1,1
