Columna,Tipo,Valores únicos,Nulos,Min,Max,Media,Mediana,Moda,Varianza,Desv. Estándar,Sesgo,Curtosis,p-valor Shapiro,Es normal (Shapiro),p-valor KS,Es normal (KS)
feature_0,float64,640,0,2.3657430922,939.7922299418,467.9608735965,474.878220792,2.3657430922,74158.2055168967,272.3200424444,-0.0024144782,-1.225188024,0.0,0,0.0010393925,0
feature_1,float64,640,0,0.8573014731,595.3598584281,304.5706612855,304.8923490076,0.8573014731,29093.3685515142,170.5677828651,-0.0458666529,-1.1892841792,0.0,0,0.0029547144,0
feature_2,float64,640,0,0.1730245183,614.2716315241,315.9589698,325.4538603512,0.1730245183,31620.3327085648,177.8210693606,-0.0940577592,-1.2127484335,0.0,0,0.0008477703,0
feature_3,float64,640,0,0.6243181694,549.8962158892,285.6482060973,302.9434807721,0.6243181694,25117.5673850794,158.4852276557,-0.1752493068,-1.1436780026,0.0,0,0.0013037209,0
feature_4,float64,640,0,0.5985273746,950.0174441752,479.2898121562,487.1803653542,0.5985273746,76296.5355427406,276.2182751788,0.0207035186,-1.1997008823,0.0,0,0.009267069,0
feature_5,float64,640,0,3.0125549413,638.1998322466,319.3105287504,326.7040339269,3.0125549413,34819.2746347983,186.5992353543,0.0092474508,-1.2606452497,0.0,0,0.0003053795,0
feature_6,float64,640,0,0.4024360588,426.3082506692,216.1946754135,218.7091777667,0.4024360588,15151.5903235742,123.0917963293,-0.0097323992,-1.2004666166,0.0,0,0.0053399193,0
feature_7,float64,640,0,0.4748247289,809.3467917612,390.3556703317,364.1242383645,0.4748247289,54573.9763712505,233.6107368493,0.1334968535,-1.1416758867,0.0,0,0.0093989536,0
feature_8,float64,640,0,0.7278495836,367.0847548342,177.8321596981,173.364770993,0.7278495836,10929.7638102278,104.5455107129,0.0714271327,-1.1585031943,0.0,0,0.0133771159,0
feature_9,float64,640,0,0.2642525958,384.919107683,195.6400839552,200.0961928408,0.2642525958,12423.8324697852,111.4622468363,-0.0032190198,-1.1923919427,0.0,0,0.0016216626,0
feature_10,float64,640,0,1.4876045759,767.3110893969,398.4330947348,405.3428218221,1.4876045759,51323.2769995452,226.5464124623,-0.0824169772,-1.278101575,0.0,0,0.0005473072,0
feature_11,float64,640,0,0.0044636711,6.8592690901,3.3534164631,3.338163139,0.0044636711,4.0032292281,2.0008071442,0.0656184522,-1.1872697176,0.0,0,0.0102219942,0
feature_12,float64,640,0,1.7062399956,979.7150629182,481.1383253381,477.7677792526,1.7062399956,77178.4737378303,277.8101397319,0.0279335849,-1.1596271054,0.0,0,0.0095748422,0
feature_13,float64,640,0,0.1943063803,203.1222918841,100.1909694044,100.2478271628,0.1943063803,3560.0842277488,59.6664413867,0.0764832808,-1.2254246582,0.0,0,0.0012657473,0
feature_14,float64,640,0,0.2223122829,56.467485223,28.101018016,27.4178267836,0.2223122829,254.4303710725,15.9508736774,-0.0116007961,-1.1622382424,0.0,0,0.0072308168,0
feature_15,float64,640,0,1.7269146544,566.6115088995,281.1408112299,277.2853939271,1.7269146544,27501.4352224071,165.8355668197,0.0316383125,-1.2315635579,0.0,0,0.0035418452,0
feature_16,float64,640,0,0.0937886081,187.0412561872,88.7512110435,84.210707013,0.0937886081,2867.2160718666,53.5463917726,0.1363160309,-1.1507096996,0.0,0,0.0074835916,0
feature_17,float64,640,0,0.0729861468,138.6753889471,70.6051129161,73.1621051374,0.0729861468,1627.7835781398,40.3458000062,-0.0360078873,-1.231941405,0.0,0,0.0047634586,0
feature_18,float64,640,0,0.1017611544,53.2547395537,27.6956188995,29.0328307819,0.1017611544,241.2329867739,15.5316768822,-0.0970713205,-1.2071594324,0.0,0,0.0066478567,0
feature_19,float64,640,0,0.2529193166,935.7407750204,458.1710172823,464.803326992,0.2529193166,73263.2344990985,270.6718206594,-0.0198916017,-1.1874226854,0.0,0,0.006000206,0
target,float64,640,0,0.2798047686,27.3607885862,14.5469269823,14.5951962354,0.2798047686,26.7316461272,5.1702655761,-0.0439345355,-0.541944004,0.0140467454,0,0.4481257236,1
