Columna,Tipo,Valores únicos,Nulos,Min,Max,Media,Mediana,Moda,Varianza,Desv. Estándar,Sesgo,Curtosis,p-valor Shapiro,Es normal (Shapiro),p-valor KS,Es normal (KS)
feature_0,float64,640,0,-2.1302386271,1.5541439248,-0.0,0.1254594982,-2.1302386271,1.0015649452,1.0007821667,-0.2874204043,-1.0376129261,0.0,0,0.0001552219,0
feature_1,float64,640,0,-2.1588399073,1.554309453,0.0,0.0870904385,-2.1588399073,1.0015649452,1.0007821667,-0.2988330878,-0.9913608486,0.0,0,0.0015456574,0
feature_2,float64,640,0,-2.1592407514,1.5265299924,-0.0,0.1370749138,-2.1592407514,1.0015649452,1.0007821667,-0.338009347,-1.0203202708,0.0,0,4.74444e-05,0
feature_3,float64,640,0,-2.0649991271,1.543303493,0.0,0.1718583065,-2.0649991271,1.0015649452,1.0007821667,-0.3694208276,-0.9986339598,0.0,0,0.0001344706,0
feature_4,float64,640,0,-2.2067407333,1.5343098862,-0.0,0.1282286662,-2.2067407333,1.0015649452,1.0007821667,-0.2722372004,-1.015026554,0.0,0,0.0010528416,0
feature_5,float64,640,0,-2.1228424961,1.5323904938,-0.0,0.14283906,-2.1228424961,1.0015649452,1.0007821667,-0.2723315926,-1.0851178885,0.0,0,0.0006308019,0
feature_6,float64,640,0,-2.1786230027,1.5427242549,-0.0,0.1140600336,-2.1786230027,1.0015649452,1.0007821667,-0.293966521,-0.9781087722,0.0,0,0.0024006159,0
feature_7,float64,640,0,-2.2269643864,1.5742367773,-0.0,0.0163669732,-2.2269643864,1.0015649452,1.0007821667,-0.2627815759,-0.8872695292,0.0,0,0.0234789085,0
feature_8,float64,640,0,-2.1695827603,1.6036426482,-0.0,0.0697019673,-2.1695827603,1.0015649452,1.0007821667,-0.2633225556,-0.9643143656,0.0,0,0.0069647873,0
feature_9,float64,640,0,-2.2102986945,1.5348474589,-0.0,0.1344951992,-2.2102986945,1.0015649452,1.0007821667,-0.2796081293,-1.025910511,0.0,0,0.003170667,0
feature_10,float64,640,0,-2.1203318481,1.4866976767,-0.0,0.1176336026,-2.1203318481,1.0015649452,1.0007821667,-0.3199859215,-1.0723672596,0.0,0,6.3206e-05,0
feature_11,float64,640,0,-2.1870655552,1.5499058228,-0.0,0.1093544201,-2.1870655552,1.0015649452,1.0007821667,-0.2757209604,-0.9944240172,0.0,0,0.001252575,0
feature_12,float64,640,0,-2.1695416491,1.6014391241,0.0,0.090358538,-2.1695416491,1.0015649452,1.0007821667,-0.2827656588,-0.9599559024,0.0,0,0.0161686014,0
feature_13,float64,640,0,-2.2358678261,1.5282891401,-0.0,0.1209553413,-2.2358678261,1.0015649452,1.0007821667,-0.2537632434,-1.0562276333,0.0,0,0.0026262676,0
feature_14,float64,640,0,-2.1159383115,1.6083835157,-0.0,0.0487560562,-2.1159383115,1.0015649452,1.0007821667,-0.2801538539,-0.9829909388,0.0,0,0.0013598338,0
feature_15,float64,640,0,-2.1404034369,1.535332094,0.0,0.0885600968,-2.1404034369,1.0015649452,1.0007821667,-0.2749271656,-1.0457567072,0.0,0,0.0021914988,0
feature_16,float64,640,0,-2.2427883412,1.60179805,0.0,0.046017973,-2.2427883412,1.0015649452,1.0007821667,-0.2473037872,-0.9561918573,0.0,0,0.0039070707,0
feature_17,float64,640,0,-2.1791003606,1.5258260575,-0.0,0.1547911468,-2.1791003606,1.0015649452,1.0007821667,-0.3025578194,-1.0374667988,0.0,0,0.0010997931,0
feature_18,float64,640,0,-2.1197233251,1.5083239687,0.0,0.1634473013,-2.1197233251,1.0015649452,1.0007821667,-0.328564102,-1.0273101759,0.0,0,0.0014381882,0
feature_19,float64,640,0,-2.1232173607,1.5663971303,0.0,0.1289932671,-2.1232173607,1.0015649452,1.0007821667,-0.329560444,-0.9852236579,0.0,0,0.0018186193,0
target,float64,640,0,-2.8189624167,2.4552936877,-0.0,0.014877356,-2.8189624167,1.0015649452,1.0007821667,-0.0701124739,-0.5251882754,0.014112305,0,0.4080303172,1
