Columna,Tipo,Valores únicos,Nulos,Min,Max,Media,Mediana,Moda,Varianza,Desv. Estándar,Sesgo,Curtosis,p-valor Shapiro,Es normal (Shapiro),p-valor KS,Es normal (KS)
feature_0,float64,640,0,0.0,1.0,0.4966737521,0.5040528344,0.0,0.0843887923,0.290497491,-0.0024144782,-1.225188024,0.0,0,0.0010393925,0
feature_1,float64,640,0,0.0,1.0,0.5108697284,0.5114108324,0.0,0.0823164353,0.2869084092,-0.0458666529,-1.1892841792,0.0,0,0.0029547144,0
feature_2,float64,640,0,0.0,1.0,0.5142267735,0.5296882815,0.0,0.0838475179,0.2895643588,-0.0940577592,-1.2127484335,0.0,0,0.0008477703,0
feature_3,float64,640,0,0.0,1.0,0.5189121983,0.5503998363,0.0,0.0832535606,0.288536931,-0.1752493068,-1.1436780026,0.0,0,0.0013037209,0
feature_4,float64,640,0,0.0,1.0,0.5041939615,0.5125048905,0.0,0.084642612,0.2909340337,0.0207035186,-1.1997008823,0.0,0,0.009267069,0
feature_5,float64,640,0,0.0,1.0,0.4979601845,0.5096000669,0.0,0.0863010616,0.2937704233,0.0092474508,-1.2606452497,0.0,0,0.0003053795,0
feature_6,float64,640,0,0.0,1.0,0.5066665726,0.5125704656,0.0,0.0835278073,0.289011777,-0.0097323992,-1.2004666166,0.0,0,0.0053399193,0
feature_7,float64,640,0,0.0,1.0,0.4820056344,0.4495759879,0.0,0.0834115189,0.2888105242,0.1334968535,-1.1416758867,0.0,0,0.0093989536,0
feature_8,float64,640,0,0.0,1.0,0.4834201501,0.4712260611,0.0,0.0814332961,0.2853651977,0.0714271327,-1.1585031943,0.0,0,0.0133771159,0
feature_9,float64,640,0,0.0,1.0,0.5079250366,0.5195097309,0.0,0.0839678725,0.2897721044,-0.0032190198,-1.1923919427,0.0,0,0.0016216626,0
feature_10,float64,640,0,0.0,1.0,0.5183250423,0.5273476529,0.0,0.0875098658,0.2958206649,-0.0824169772,-1.278101575,0.0,0,0.0005473072,0
feature_11,float64,640,0,0.0,1.0,0.4885554859,0.4863302842,0.0,0.0851961944,0.2918838715,0.0656184522,-1.1872697176,0.0,0,0.0102219942,0
feature_12,float64,640,0,0.0,1.0,0.4902124338,0.4867660987,0.0,0.0806883139,0.284056885,0.0279335849,-1.1596271054,0.0,0,0.0095748422,0
feature_13,float64,640,0,0.0,1.0,0.4927692096,0.4930493965,0.0,0.0864522668,0.2940276633,0.0764832808,-1.2254246582,0.0,0,0.0012657473,0
feature_14,float64,640,0,0.0,1.0,0.4956639704,0.4835173061,0.0,0.0804263646,0.2835954242,-0.0116007961,-1.1622382424,0.0,0,0.0072308168,0
feature_15,float64,640,0,0.0,1.0,0.494638904,0.4878137625,0.0,0.0861858358,0.2935742424,0.0316383125,-1.2315635579,0.0,0,0.0035418452,0
feature_16,float64,640,0,0.0,1.0,0.4742370869,0.4499494938,0.0,0.0820391684,0.2864248041,0.1363160309,-1.1507096996,0.0,0,0.0074835916,0
feature_17,float64,640,0,0.0,1.0,0.5088809815,0.527329379,0.0,0.0847334997,0.2910901917,-0.0360078873,-1.231941405,0.0,0,0.0047634586,0
feature_18,float64,640,0,0.0,1.0,0.5191403864,0.5442981842,0.0,0.0853849806,0.2922070851,-0.0970713205,-1.2071594324,0.0,0,0.0066478567,0
feature_19,float64,640,0,0.0,1.0,0.4894965714,0.4965862516,0.0,0.0837162527,0.2893376103,-0.0198916017,-1.1874226854,0.0,0,0.006000206,0
target,float64,640,0,0.0,1.0,0.5268317543,0.5286141583,0.0,0.0364499409,0.190918676,-0.0439345355,-0.541944004,0.0140467454,0,0.4481257236,1
