Columna,Tipo,Valores únicos,Nulos,Min,Max,Media,Mediana,Moda,Varianza,Desv. Estándar,Sesgo,Curtosis,p-valor Shapiro,Es normal (Shapiro),p-valor KS,Es normal (KS)
feature_0,float64,640,0,-1.7110723814,1.733990649,0.0,0.0254214036,-1.7110723814,1.0015649452,1.0007821667,-0.0024144782,-1.225188024,0.0,0,0.0010393925,0
feature_1,float64,640,0,-1.7819948714,1.7061641881,-0.0,0.0018874569,-1.7819948714,1.0015649452,1.0007821667,-0.0458666529,-1.1892841792,0.0,0,0.0029547144,0
feature_2,float64,640,0,-1.7772525139,1.6789123642,-0.0,0.0534375211,-1.7772525139,1.0015649452,1.0007821667,-0.0940577592,-1.2127484335,0.0,0,0.0008477703,0
feature_3,float64,640,0,-1.7998322515,1.6686394038,0.0,0.1092139799,-1.7998322515,1.0015649452,1.0007821667,-0.1752493068,-1.1436780026,0.0,0,0.0013037209,0
feature_4,float64,640,0,-1.7343736611,1.7055200971,-0.0,0.0285887128,-1.7343736611,1.0015649452,1.0007821667,0.0207035186,-1.1997008823,0.0,0,0.009267069,0
feature_5,float64,640,0,-1.6963915793,1.7102895813,0.0,0.0396533679,-1.6963915793,1.0015649452,1.0007821667,0.0092474508,-1.2606452497,0.0,0,0.0003053795,0
feature_6,float64,640,0,-1.7544713076,1.7083016527,-0.0,0.020443841,-1.7544713076,1.0015649452,1.0007821667,-0.0097323992,-1.2004666166,0.0,0,0.0053399193,0
feature_7,float64,640,0,-1.6702391452,1.7949467905,0.0,-0.112374755,-1.6702391452,1.0015649452,1.0007821667,0.1334968535,-1.1416758867,0.0,0,0.0093989536,0
feature_8,float64,640,0,-1.695365339,1.8116571522,0.0,-0.0427649444,-1.695365339,1.0015649452,1.0007821667,0.0714271327,-1.1585031943,0.0,0,0.0133771159,0
feature_9,float64,640,0,-1.7542141253,1.6994729324,-0.0,0.0400099086,-1.7542141253,1.0015649452,1.0007821667,-0.0032190198,-1.1923919427,0.0,0,0.0016216626,0
feature_10,float64,640,0,-1.7535301636,1.6295403434,-0.0,0.0305241278,-1.7535301636,1.0015649452,1.0007821667,-0.0824169772,-1.278101575,0.0,0,0.0005473072,0
feature_11,float64,640,0,-1.675110088,1.7535896943,-0.0,-0.0076295483,-1.675110088,1.0015649452,1.0007821667,0.0656184522,-1.1872697176,0.0,0,0.0102219942,0
feature_12,float64,640,0,-1.7271042793,1.7960709001,0.0,-0.0121420421,-1.7271042793,1.0015649452,1.0007821667,0.0279335849,-1.1596271054,0.0,0,0.0095748422,0
feature_13,float64,640,0,-1.6772389095,1.7264618023,-0.0,0.0009536723,-1.6772389095,1.0015649452,1.0007821667,0.0764832808,-1.2254246582,0.0,0,0.0012657473,0
feature_14,float64,640,0,-1.7491525601,1.7797554597,-0.0,-0.0428644609,-1.7491525601,1.0015649452,1.0007821667,-0.0116007961,-1.1622382424,0.0,0,0.0072308168,0
feature_15,float64,640,0,-1.6862030877,1.7227545865,-0.0,-0.0232666186,-1.6862030877,1.0015649452,1.0007821667,0.0316383125,-1.2315635579,0.0,0,0.0035418452,0
feature_16,float64,640,0,-1.6570073983,1.8370411355,0.0,-0.0848620292,-1.6570073983,1.0015649452,1.0007821667,0.1363160309,-1.1507096996,0.0,0,0.0074835916,0
feature_17,float64,640,0,-1.7495574419,1.6884909538,-0.0,0.0634264834,-1.7495574419,1.0015649452,1.0007821667,-0.0360078873,-1.231941405,0.0,0,0.0047634586,0
feature_18,float64,640,0,-1.7780076776,1.6468995809,0.0,0.0861631242,-1.7780076776,1.0015649452,1.0007821667,-0.0970713205,-1.2071594324,0.0,0,0.0066478567,0
feature_19,float64,640,0,-1.6931066749,1.7657667346,0.0,0.0245223063,-1.6931066749,1.0015649452,1.0007821667,-0.0198916017,-1.1874226854,0.0,0,0.006000206,0
target,float64,640,0,-2.7616147124,2.4803144038,-0.0,0.0093432353,-2.7616147124,1.0015649452,1.0007821667,-0.0439345355,-0.541944004,0.0140467454,0,0.4481257236,1
