num_features,mae,rmse
1,4.186065401971763,5.16515578716049
2,3.5146578645578415,4.35891281099646
3,2.583952806146364,3.15211071302755
4,2.1634430430085447,2.6899094723409185
5,1.9512380799292321,2.4171414366368955
6,1.997109329427784,2.4912949206002564
7,2.0164843951633915,2.53145084264454
8,2.0594699068591846,2.5849692699546964
9,2.107525494601891,2.6458402514638144
10,2.139622815611206,2.656372382987796
11,2.1403076012208255,2.6648332427660057
12,2.157062930825058,2.6986514394285575
13,2.1841304961081183,2.714186959062536
14,2.1888763348823392,2.7216172009355657
15,2.1745621869564253,2.702866364586337
16,2.1890918927717014,2.7215856158161023
17,2.202906509398481,2.7329161714378603
18,2.204681199074548,2.7284842429405733
19,2.2364118637801256,2.751155726912536
20,2.2157815449965588,2.7445360254411817
