num_features,mae,rmse
1,0.8086957940711937,0.9990160187313337
2,0.678353886045341,0.8417188013426168
3,0.502187499700358,0.6125487927071382
4,0.41612611928007553,0.5181842867591575
5,0.3776559434590896,0.4684752178970123
6,0.38527024665943815,0.480732625282074
7,0.39187224754439126,0.4923843200533819
8,0.39907015089275005,0.5019989790349243
9,0.4059003632312015,0.5103333668009887
10,0.41255776139903455,0.5152480228120446
11,0.41413563396968694,0.5162977034822832
12,0.4218924774732244,0.5251929485398563
13,0.4207327600548334,0.5246351806216865
14,0.4201156039789904,0.5200156218106414
15,0.4236123126269616,0.5249966793660157
16,0.42293046107685867,0.5274175931648255
17,0.4246048024329343,0.5264932803965291
18,0.4273714614728903,0.5275986005313842
19,0.4287758982523691,0.5316089294375633
20,0.4322872151418979,0.5345519454485872
