num_features,mae,rmse
1,0.8086957940711937,0.9990160187313337
2,0.6785482259727648,0.8417784806802053
3,0.5021696461992667,0.612464061926212
4,0.4160831664350275,0.518058685849246
5,0.3772494369073896,0.46814258499535694
6,0.3851253286780388,0.48059978554827826
7,0.39158985185848816,0.49213052549126585
8,0.39894625346291307,0.5017945353778133
9,0.4059404193831511,0.5104342711267715
10,0.412684696702813,0.5153796061508468
11,0.4140350397969521,0.5162415377478164
12,0.42184988457886313,0.5252961906832908
13,0.4207654826568213,0.5246858901215802
14,0.42023991572800723,0.5200635429323059
15,0.42364632522435736,0.5250300152604959
16,0.4229709417260259,0.5275760057262538
17,0.4246470583735902,0.5264965510902471
18,0.42750824377326646,0.5277406712319246
19,0.4287717494396544,0.531702222811982
20,0.4322684883910912,0.5344755844134348
