,target,feature_2,feature_13,feature_9,feature_11,feature_18,feature_10,feature_6,feature_7,feature_14,feature_0,feature_12,feature_8,feature_5,feature_15,feature_16,feature_3,feature_17,feature_1,feature_19,feature_4
target,1.0,0.55,0.4,0.36,0.32,0.06,0.05,0.04,0.04,0.03,0.03,0.03,0.01,0.0,-0.0,-0.0,-0.02,-0.02,-0.05,-0.05,-0.06
feature_2,0.55,1.0,0.02,-0.01,0.02,-0.01,0.03,0.01,0.09,-0.0,0.03,-0.04,-0.04,0.01,0.02,-0.03,-0.01,0.03,-0.05,-0.04,-0.02
feature_13,0.4,0.02,1.0,-0.01,0.02,0.07,0.02,0.03,-0.04,0.04,0.06,0.05,0.06,0.05,-0.05,0.06,-0.04,-0.0,-0.02,-0.0,-0.01
feature_9,0.36,-0.01,-0.01,1.0,-0.04,0.0,0.06,0.02,-0.0,0.0,0.01,0.01,-0.01,0.0,-0.01,-0.0,-0.02,0.02,-0.0,-0.02,-0.07
feature_11,0.32,0.02,0.02,-0.04,1.0,-0.0,0.01,0.02,0.03,-0.03,0.01,-0.03,0.03,-0.09,0.01,-0.04,-0.05,-0.04,-0.02,-0.02,-0.07
feature_18,0.06,-0.01,0.07,0.0,-0.0,1.0,-0.03,-0.06,-0.03,0.02,-0.02,0.03,0.05,-0.06,-0.02,-0.05,0.03,0.03,0.01,-0.03,-0.03
feature_10,0.05,0.03,0.02,0.06,0.01,-0.03,1.0,0.03,-0.02,-0.03,-0.01,-0.01,-0.02,-0.08,0.02,0.03,0.04,-0.01,-0.1,-0.0,-0.01
feature_6,0.04,0.01,0.03,0.02,0.02,-0.06,0.03,1.0,0.01,-0.07,0.06,-0.02,0.05,0.0,-0.01,-0.01,-0.0,-0.01,0.02,0.01,0.01
feature_7,0.04,0.09,-0.04,-0.0,0.03,-0.03,-0.02,0.01,1.0,0.03,-0.03,0.01,-0.04,0.02,0.02,0.01,-0.04,-0.02,-0.01,0.03,0.05
feature_14,0.03,-0.0,0.04,0.0,-0.03,0.02,-0.03,-0.07,0.03,1.0,0.05,-0.0,-0.01,0.01,-0.01,0.01,0.0,0.02,-0.03,-0.04,0.03
feature_0,0.03,0.03,0.06,0.01,0.01,-0.02,-0.01,0.06,-0.03,0.05,1.0,-0.08,-0.02,0.02,-0.02,-0.05,-0.05,-0.01,-0.06,-0.0,-0.04
feature_12,0.03,-0.04,0.05,0.01,-0.03,0.03,-0.01,-0.02,0.01,-0.0,-0.08,1.0,0.0,-0.06,0.05,0.0,0.04,-0.02,0.01,0.03,-0.07
feature_8,0.01,-0.04,0.06,-0.01,0.03,0.05,-0.02,0.05,-0.04,-0.01,-0.02,0.0,1.0,-0.02,0.03,-0.07,-0.01,-0.03,-0.05,-0.06,-0.06
feature_5,0.0,0.01,0.05,0.0,-0.09,-0.06,-0.08,0.0,0.02,0.01,0.02,-0.06,-0.02,1.0,-0.05,0.01,0.01,-0.04,0.01,0.06,0.04
feature_15,-0.0,0.02,-0.05,-0.01,0.01,-0.02,0.02,-0.01,0.02,-0.01,-0.02,0.05,0.03,-0.05,1.0,-0.04,-0.0,-0.01,0.01,-0.01,0.05
feature_16,-0.0,-0.03,0.06,-0.0,-0.04,-0.05,0.03,-0.01,0.01,0.01,-0.05,0.0,-0.07,0.01,-0.04,1.0,0.01,-0.01,-0.01,0.08,0.06
feature_3,-0.02,-0.01,-0.04,-0.02,-0.05,0.03,0.04,-0.0,-0.04,0.0,-0.05,0.04,-0.01,0.01,-0.0,0.01,1.0,0.04,-0.04,0.06,-0.05
feature_17,-0.02,0.03,-0.0,0.02,-0.04,0.03,-0.01,-0.01,-0.02,0.02,-0.01,-0.02,-0.03,-0.04,-0.01,-0.01,0.04,1.0,-0.03,-0.02,0.03
feature_1,-0.05,-0.05,-0.02,-0.0,-0.02,0.01,-0.1,0.02,-0.01,-0.03,-0.06,0.01,-0.05,0.01,0.01,-0.01,-0.04,-0.03,1.0,0.0,-0.0
feature_19,-0.05,-0.04,-0.0,-0.02,-0.02,-0.03,-0.0,0.01,0.03,-0.04,-0.0,0.03,-0.06,0.06,-0.01,0.08,0.06,-0.02,0.0,1.0,-0.04
feature_4,-0.06,-0.02,-0.01,-0.07,-0.07,-0.03,-0.01,0.01,0.05,0.03,-0.04,-0.07,-0.06,0.04,0.05,0.06,-0.05,0.03,-0.0,-0.04,1.0
