,training_data_original,training_data_minmax,training_data_standard,training_data_boxcox,training_data_yeojohnson
feature_0,11,11,11,8,9
feature_1,19,19,19,19,19
feature_10,7,7,7,7,7
feature_11,5,5,5,5,5
feature_12,12,12,12,11,11
feature_13,3,3,3,3,3
feature_14,10,10,10,10,10
feature_15,15,15,15,15,15
feature_16,16,16,16,14,14
feature_17,18,18,18,18,18
feature_18,6,6,6,9,8
feature_19,20,20,20,20,20
feature_2,2,2,2,2,2
feature_3,17,17,17,17,17
feature_4,21,21,21,21,21
feature_5,14,14,14,16,16
feature_6,8,8,8,6,6
feature_7,9,9,9,12,12
feature_8,13,13,13,13,13
feature_9,4,4,4,4,4
target,1,1,1,1,1
