,target,feature_2,feature_13,feature_9,feature_11,feature_18,feature_14,feature_6,feature_8,feature_16,feature_17,feature_10,feature_3,feature_0,feature_5,feature_15,feature_1,feature_7,feature_12,feature_4,feature_19
target,1.0,0.53,0.42,0.38,0.38,0.12,0.08,0.06,0.06,0.06,0.03,0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.05,-0.07,-0.15,-0.16
feature_2,0.53,1.0,0.01,-0.02,0.05,0.02,0.03,0.0,-0.02,-0.02,0.06,-0.03,-0.01,-0.02,-0.02,-0.02,-0.05,0.02,-0.13,-0.11,-0.13
feature_13,0.42,0.01,1.0,0.01,0.06,0.13,0.06,0.05,0.11,0.1,0.04,0.01,-0.03,0.03,0.03,-0.06,-0.01,-0.09,0.0,-0.05,-0.06
feature_9,0.38,-0.02,0.01,1.0,0.0,0.04,0.05,0.04,0.03,0.03,0.07,0.03,-0.01,-0.03,0.01,-0.03,0.02,-0.06,-0.06,-0.11,-0.09
feature_11,0.38,0.05,0.06,0.0,1.0,0.08,0.02,0.08,0.09,0.03,0.02,0.01,-0.02,0.01,-0.08,0.04,0.01,0.0,-0.05,-0.08,-0.06
feature_18,0.12,0.02,0.13,0.04,0.08,1.0,0.07,-0.01,0.11,0.02,0.1,-0.04,0.06,-0.04,-0.05,-0.01,0.06,-0.04,0.0,-0.05,-0.06
feature_14,0.08,0.03,0.06,0.05,0.02,0.07,1.0,-0.04,0.05,0.07,0.09,-0.03,0.01,0.02,-0.01,0.02,0.02,-0.0,-0.03,0.0,-0.1
feature_6,0.06,0.0,0.05,0.04,0.08,-0.01,-0.04,1.0,0.09,0.02,0.04,-0.03,-0.0,0.0,-0.0,-0.03,0.03,-0.06,-0.08,-0.06,-0.06
feature_8,0.06,-0.02,0.11,0.03,0.09,0.11,0.05,0.09,1.0,-0.01,0.04,-0.04,0.05,-0.05,-0.02,0.05,-0.01,-0.07,-0.03,-0.1,-0.11
feature_16,0.06,-0.02,0.1,0.03,0.03,0.02,0.07,0.02,-0.01,1.0,0.06,0.01,0.03,-0.07,-0.0,-0.05,0.01,-0.02,-0.04,0.02,0.02
feature_17,0.03,0.06,0.04,0.07,0.02,0.1,0.09,0.04,0.04,0.06,1.0,-0.01,0.07,-0.04,-0.03,0.0,0.01,-0.06,-0.06,-0.01,-0.05
feature_10,0.01,-0.03,0.01,0.03,0.01,-0.04,-0.03,-0.03,-0.04,0.01,-0.01,1.0,-0.01,-0.11,-0.14,-0.03,-0.14,-0.1,-0.12,-0.11,-0.1
feature_3,-0.01,-0.01,-0.03,-0.01,-0.02,0.06,0.01,-0.0,0.05,0.03,0.07,-0.01,1.0,-0.1,-0.01,-0.02,-0.03,-0.1,-0.04,-0.12,-0.0
feature_0,-0.02,-0.02,0.03,-0.03,0.01,-0.04,0.02,0.0,-0.05,-0.07,-0.04,-0.11,-0.1,1.0,-0.07,-0.11,-0.13,-0.14,-0.21,-0.17,-0.15
feature_5,-0.02,-0.02,0.03,0.01,-0.08,-0.05,-0.01,-0.0,-0.02,-0.0,-0.03,-0.14,-0.01,-0.07,1.0,-0.1,0.01,-0.06,-0.15,-0.03,-0.04
feature_15,-0.03,-0.02,-0.06,-0.03,0.04,-0.01,0.02,-0.03,0.05,-0.05,0.0,-0.03,-0.02,-0.11,-0.1,1.0,0.01,-0.07,-0.03,-0.04,-0.09
feature_1,-0.04,-0.05,-0.01,0.02,0.01,0.06,0.02,0.03,-0.01,0.01,0.01,-0.14,-0.03,-0.13,0.01,0.01,1.0,-0.06,-0.05,-0.05,-0.06
feature_7,-0.05,0.02,-0.09,-0.06,0.0,-0.04,-0.0,-0.06,-0.07,-0.02,-0.06,-0.1,-0.1,-0.14,-0.06,-0.07,-0.06,1.0,-0.09,-0.06,-0.09
feature_12,-0.07,-0.13,0.0,-0.06,-0.05,0.0,-0.03,-0.08,-0.03,-0.04,-0.06,-0.12,-0.04,-0.21,-0.15,-0.03,-0.05,-0.09,1.0,-0.2,-0.11
feature_4,-0.15,-0.11,-0.05,-0.11,-0.08,-0.05,0.0,-0.06,-0.1,0.02,-0.01,-0.11,-0.12,-0.17,-0.03,-0.04,-0.05,-0.06,-0.2,1.0,-0.17
feature_19,-0.16,-0.13,-0.06,-0.09,-0.06,-0.06,-0.1,-0.06,-0.11,0.02,-0.05,-0.1,-0.0,-0.15,-0.04,-0.09,-0.06,-0.09,-0.11,-0.17,1.0
