Columna,Tipo,Valores únicos,Nulos,Min,Max,Media,Mediana,Moda,Varianza,Desv. Estándar,Sesgo,Curtosis,p-valor Shapiro,Es normal (Shapiro),p-valor KS,Es normal (KS)
feature_0,float64,800,0,0.9166477903,940.7715434095,468.1816123244,477.7506198119,0.9166477903,73331.2397982232,270.7974146816,-0.0069014999,-1.2096519131,0.0,0,0.0006343944,0
feature_1,float64,800,0,0.800119208,595.3598584281,301.9602177074,303.2571758871,0.800119208,29135.4639523645,170.6911361271,-0.0206249998,-1.1887772352,0.0,0,0.0007224954,0
feature_2,float64,800,0,0.1730245183,614.2716315241,317.1329958318,326.3101942659,0.1730245183,31152.9276592368,176.5019197041,-0.0955054319,-1.1973322768,0.0,0,0.000199129,0
feature_3,float64,800,0,0.3088231097,549.8962158892,283.2134556134,294.5744027229,0.3088231097,24868.7270798569,157.6982152082,-0.127216857,-1.1606626663,0.0,0,0.0006124944,0
feature_4,float64,800,0,0.5985273746,950.0174441752,485.9759498421,493.470485636,0.5985273746,74307.5054189179,272.5940304169,-0.0077621189,-1.1692163497,0.0,0,0.0043105282,0
feature_5,float64,800,0,0.9973474962,638.1998322466,320.9538592878,328.7224643167,0.9973474962,34283.1847224212,185.1571892269,-0.0007971598,-1.2532703092,0.0,0,0.0001377606,0
feature_6,float64,800,0,0.4024360588,426.3082506692,217.1363304914,217.098090286,0.4024360588,15291.9666132829,123.6606914637,-0.0070956229,-1.2246078116,0.0,0,0.0007561389,0
feature_7,float64,800,0,0.4748247289,809.3467917612,387.1962891793,364.1242383645,0.4748247289,55286.7637529583,235.1313755179,0.1264941389,-1.1551449981,0.0,0,0.0035619752,0
feature_8,float64,800,0,0.7278495836,367.0847548342,179.4854533856,173.364770993,0.7278495836,10828.3398852305,104.0593094597,0.0668641121,-1.1639500546,0.0,0,0.0031758923,0
feature_9,float64,800,0,0.2642525958,384.919107683,196.0030584027,199.5870481006,0.2642525958,12330.4747122698,111.0426706824,-0.009694373,-1.1926982684,0.0,0,0.0007826341,0
feature_10,float64,800,0,1.4876045759,767.3110893969,401.0796958281,413.8064169703,1.4876045759,52227.5968218208,228.5335791997,-0.0998059176,-1.2837226952,0.0,0,1.73061e-05,0
feature_11,float64,800,0,0.0044636711,6.8592690901,3.3726669072,3.3494965212,0.0044636711,3.945663103,1.9863693269,0.0472232909,-1.1831708688,0.0,0,0.0020721713,0
feature_12,float64,800,0,1.7062399956,979.7150629182,479.8419151258,468.5368878631,1.7062399956,76344.0095035672,276.3041974049,0.0510586485,-1.1355037111,0.0,0,0.0041310673,0
feature_13,float64,800,0,0.1943063803,203.1222918841,100.1120959172,100.2478271628,0.1943063803,3498.6981392609,59.1497940762,0.0746104427,-1.2100761292,0.0,0,0.000727162,0
feature_14,float64,800,0,0.2223122829,56.467485223,28.3347245122,27.9531462204,0.2223122829,259.3760018793,16.1051545127,-0.0287208,-1.1925306504,0.0,0,0.0010562539,0
feature_15,float64,800,0,1.7269146544,566.6115088995,277.2059987194,275.9508139918,1.7269146544,28018.0494473698,167.3859296577,0.0564694371,-1.2257446558,0.0,0,0.0013342471,0
feature_16,float64,800,0,0.0937886081,187.0412561872,91.2176153916,87.4843428678,0.0937886081,2910.6589574043,53.9505232357,0.0776668348,-1.1789167928,0.0,0,0.0020982481,0
feature_17,float64,800,0,0.0729861468,138.6753889471,70.9271286425,74.4296753892,0.0729861468,1647.4592122762,40.5889050391,-0.0627343842,-1.2355012974,0.0,0,0.0009230282,0
feature_18,float64,800,0,0.1017611544,53.2547395537,27.3852662441,27.7661114111,0.1017611544,240.5310028601,15.5090619594,-0.0588595286,-1.2097422546,0.0,0,0.0036341552,0
feature_19,float64,800,0,0.2529193166,935.7407750204,457.0164072643,462.153497398,0.2529193166,73251.5016488849,270.65014622,-0.0041467378,-1.2003833947,0.0,0,0.0023764915,0
target,float64,800,0,0.2798047686,27.3607885862,14.6313424698,14.687954871,0.2798047686,25.90304242,5.0895031604,-0.0397635594,-0.5443070354,0.0041471903,0,0.5665096844,1
