Columna,Tipo,Valores únicos,Nulos,Min,Max,Media,Mediana,Moda,Varianza,Desv. Estándar,Sesgo,Curtosis,p-valor Shapiro,Es normal (Shapiro),p-valor KS,Es normal (KS)
feature_0,float64,800,0,-2.1606306661,1.5664908199,-0.0,0.1325026552,-2.1606306661,1.0012515645,1.0006255865,-0.2893037323,-1.0258208136,0.0,0,5.43979e-05,0
feature_1,float64,800,0,-2.1700723565,1.5581497332,-0.0,0.0979343812,-2.1700723565,1.0012515645,1.0006255865,-0.29039654,-0.98879088,0.0,0,0.0002553397,0
feature_2,float64,800,0,-2.1641280341,1.5392036109,0.0,0.1308910508,-2.1641280341,1.0012515645,1.0006255865,-0.3295931937,-1.0102584777,0.0,0,1.18647e-05,0
feature_3,float64,800,0,-2.1114341994,1.5530825637,0.0,0.1439289119,-2.1114341994,1.0012515645,1.0006255865,-0.3456908154,-0.9970629775,0.0,0,7.24934e-05,0
feature_4,float64,800,0,-2.2098477474,1.5468046175,-0.0,0.1160906533,-2.2098477474,1.0012515645,1.0006255865,-0.2813165099,-0.9719584655,0.0,0,0.0002734792,0
feature_5,float64,800,0,-2.1848941524,1.541709269,-0.0,0.1405078946,-2.1848941524,1.0012515645,1.0006255865,-0.2723206037,-1.079487368,0.0,0,0.0001158303,0
feature_6,float64,800,0,-2.1924035488,1.5303131034,0.0,0.0955715009,-2.1924035488,1.0012515645,1.0006255865,-0.2843182483,-1.0129627353,0.0,0,0.000283159,0
feature_7,float64,800,0,-2.196598201,1.5686186673,-0.0,0.0344388396,-2.196598201,1.0012515645,1.0006255865,-0.2704386757,-0.9200050438,0.0,0,0.0080594764,0
feature_8,float64,800,0,-2.1929989401,1.605642022,-0.0,0.0497305953,-2.1929989401,1.0012515645,1.0006255865,-0.2542464539,-0.9674575081,0.0,0,0.001285588,0
feature_9,float64,800,0,-2.2082013658,1.5414538275,0.0,0.1243281443,-2.2082013658,1.0012515645,1.0006255865,-0.2775833138,-1.0276470194,0.0,0,0.0007509807,0
feature_10,float64,800,0,-2.1060151926,1.4650002799,-0.0,0.14097012,-2.1060151926,1.0012515645,1.0006255865,-0.3334196344,-1.0783234416,0.0,0,2.9848e-06,0
feature_11,float64,800,0,-2.1890481709,1.560668593,-0.0,0.0992432148,-2.1890481709,1.0012515645,1.0006255865,-0.2744929223,-1.0013729749,0.0,0,0.0009686303,0
feature_12,float64,800,0,-2.1878843969,1.6135691357,-0.0,0.0633773716,-2.1878843969,1.0012515645,1.0006255865,-0.2682200393,-0.9398075605,0.0,0,0.0125912888,0
feature_13,float64,800,0,-2.2414880479,1.5444664642,-0.0,0.1189991242,-2.2414880479,1.0012515645,1.0006255865,-0.2517851821,-1.0445100801,0.0,0,0.0009135505,0
feature_14,float64,800,0,-2.1079404343,1.5825074589,0.0,0.0669493627,-2.1079404343,1.0012515645,1.0006255865,-0.2895254616,-1.0068803119,0.0,0,0.0001193038,0
feature_15,float64,800,0,-2.115067899,1.52743561,0.0,0.1131252943,-2.115067899,1.0012515645,1.0006255865,-0.2799330096,-1.0337466058,0.0,0,0.0005186156,0
feature_16,float64,800,0,-2.215367498,1.5715068517,-0.0,0.0493169997,-2.215367498,1.0012515645,1.0006255865,-0.2649080233,-0.9767353805,0.0,0,0.0011240481,0
feature_17,float64,800,0,-2.1521070149,1.5116029704,-0.0,0.1744479429,-2.1521070149,1.0012515645,1.0006255865,-0.3221471486,-1.0397161322,0.0,0,6.86482e-05,0
feature_18,float64,800,0,-2.1339448049,1.519586139,0.0,0.1116208912,-2.1339448049,1.0012515645,1.0006255865,-0.3089446378,-1.0273308648,0.0,0,0.0011312451,0
feature_19,float64,800,0,-2.1347764954,1.5670081382,-0.0,0.1262105258,-2.1347764954,1.0012515645,1.0006255865,-0.3214869917,-0.9848784971,0.0,0,0.0003155077,0
target,float64,800,0,-2.9178759753,2.46703947,0.0,0.0189158821,-2.9178759753,1.0012515645,1.0006255865,-0.0773006634,-0.5172649833,0.0042850427,0,0.490042524,1
