Columna,Tipo,Valores únicos,Nulos,Min,Max,Media,Mediana,Moda,Varianza,Desv. Estándar,Sesgo,Curtosis,p-valor Shapiro,Es normal (Shapiro),p-valor KS,Es normal (KS)
feature_0,float64,800,0,0.0001576709,0.2739352841,0.0913906103,0.0908409386,0.0001576709,0.002805096,0.052963157,0.2000401843,-0.6246565489,4e-10,0,0.0210888827,0
feature_1,float64,800,0,0.0001753825,0.1609561928,0.0596903623,0.0594431406,0.0001753825,0.001164807,0.0341292695,0.114238194,-0.8640507499,4e-10,0,0.013132229,0
feature_2,float64,800,0,4.4593e-05,0.1555826044,0.062234058,0.0631036245,4.4593e-05,0.0012189359,0.0349132622,0.0596867824,-0.9229164857,2e-10,0,0.0070686319,0
feature_3,float64,800,0,6.3747e-05,0.1521130449,0.0557112056,0.0566913968,6.3747e-05,0.0010006443,0.0316329618,0.0685768917,-0.8671917016,4e-10,0,0.0274792491,0
feature_4,float64,800,0,0.0001077271,0.2510022352,0.0946787044,0.0965666174,0.0001077271,0.0027096392,0.0520541949,0.0814624326,-0.7833751446,2.4e-09,0,0.0181676047,0
feature_5,float64,800,0,0.0002203431,0.1677271931,0.0628213741,0.064413006,0.0002203431,0.0012962698,0.0360037475,0.117695323,-0.8863578518,0.0,0,0.0002044314,0
feature_6,float64,800,0,8.80668e-05,0.1059693182,0.0426750635,0.043380884,8.80668e-05,0.0005914988,0.0243207479,0.1004483678,-0.9459299988,1e-10,0,0.0057608646,0
feature_7,float64,800,0,0.000126882,0.1844676431,0.0750014089,0.0731233688,0.000126882,0.0019503827,0.044163137,0.1152109968,-1.0063863631,0.0,0,0.0123484157,0
feature_8,float64,800,0,0.0001405932,0.109257622,0.0357457481,0.034652042,0.0001405932,0.000461798,0.0214894851,0.3032133284,-0.5957520759,1e-10,0,0.0028544013,0
feature_9,float64,800,0,5.49855e-05,0.0914322007,0.0387779464,0.0387367183,5.49855e-05,0.0005066721,0.022509378,0.1839569174,-0.8805691981,1e-10,0,0.0087467526,0
feature_10,float64,800,0,0.0003477237,0.2373490147,0.0783454518,0.0798176301,0.0003477237,0.0020057446,0.0447855403,0.0861829772,-0.8424381611,1e-10,0,0.0063766105,0
feature_11,float64,800,0,8.962e-07,0.0019109468,0.0006779904,0.000646609,8.962e-07,1.788e-07,0.0004228678,0.3210607146,-0.6998627597,0.0,0,0.0031914624,0
feature_12,float64,800,0,0.0003789006,0.2405373054,0.0933519943,0.0933883845,0.0003789006,0.002812274,0.0530308777,0.1496840082,-0.8221765383,1.7e-09,0,0.0144257736,0
feature_13,float64,800,0,5.36395e-05,0.0547511676,0.0198327853,0.0197858108,5.36395e-05,0.0001415083,0.0118957276,0.1833148607,-0.9472447538,0.0,0,0.0004810431,0
feature_14,float64,800,0,4.34561e-05,0.0160879729,0.0056604663,0.0055198082,4.34561e-05,1.12866e-05,0.0033595465,0.2044193645,-0.7895237252,1e-10,0,0.0387328051,0
feature_15,float64,800,0,0.0003451761,0.1461567286,0.0543031843,0.0536176502,0.0003451761,0.0010750809,0.0327884256,0.183613806,-0.8794063779,0.0,0,0.0042191074,0
feature_16,float64,800,0,1.63117e-05,0.0502209354,0.0181029044,0.0172751103,1.63117e-05,0.0001231786,0.0110985841,0.3270222459,-0.6925953832,0.0,0,0.0032139353,0
feature_17,float64,800,0,1.28582e-05,0.0402183306,0.014167027,0.0145625486,1.28582e-05,7.19052e-05,0.0084796943,0.2040755733,-0.7632228994,0.0,0,0.0014874528,0
feature_18,float64,800,0,1.97086e-05,0.0158773533,0.005494187,0.0054574515,1.97086e-05,1.06914e-05,0.0032697671,0.1774696698,-0.8119098171,0.0,0,0.0027666231,0
feature_19,float64,800,0,6.93089e-05,0.2164398351,0.0884437174,0.0926796393,6.93089e-05,0.0025914236,0.050906027,0.0271195082,-0.9422801855,0.0,0,0.0049994679,0
target,float64,800,0,7.32862e-05,0.0063336916,0.0028938104,0.0028877569,7.32862e-05,1.05e-06,0.0010246997,0.1820603544,-0.1060580276,0.1113576874,1,0.8339394351,1
