Columna,Tipo,Valores únicos,Nulos,Min,Max,Media,Mediana,Moda,Varianza,Desv. Estándar,Sesgo,Curtosis,p-valor Shapiro,Es normal (Shapiro),p-valor KS,Es normal (KS)
feature_0,float64,800,0,0.0,1.0,0.4971671337,0.5073485005,0.0,0.083017072,0.2881268331,-0.0069014999,-1.2096519131,0.0,0,0.0006343944,0
feature_1,float64,800,0,0.0,1.0,0.5065262221,0.5087075978,0.0,0.0824196836,0.2870882854,-0.0206249998,-1.1887772352,0.0,0,0.0007224954,0
feature_2,float64,800,0,0.0,1.0,0.516138561,0.5310827382,0.0,0.0826081017,0.2874162515,-0.0955054319,-1.1973322768,0.0,0,0.000199129,0
feature_3,float64,800,0,0.0,1.0,0.5147582281,0.5354300035,0.0,0.082334155,0.2869392881,-0.127216857,-1.1606626663,0.0,0,0.0006124944,0
feature_4,float64,800,0,0.0,1.0,0.5112363087,0.5191301222,0.0,0.0824360019,0.2871167043,-0.0077621189,-1.1692163497,0.0,0,0.0043105282,0
feature_5,float64,800,0,0.0,1.0,0.5021269054,0.5143186423,0.0,0.0844357251,0.2905782599,-0.0007971598,-1.2532703092,0.0,0,0.0001377606,0
feature_6,float64,800,0,0.0,1.0,0.5088775194,0.5087877338,0.0,0.0843016748,0.2903475069,-0.0070956229,-1.2246078116,0.0,0,0.0007561389,0
feature_7,float64,800,0,0.0,1.0,0.4780997243,0.4495759879,0.0,0.0845009517,0.290690474,0.1264941389,-1.1551449981,0.0,0,0.0035619752,0
feature_8,float64,800,0,0.0,1.0,0.4879329453,0.4712260611,0.0,0.080677627,0.2840380732,0.0668641121,-1.1639500546,0.0,0,0.0031758923,0
feature_9,float64,800,0,0.0,1.0,0.5088686734,0.5181860904,0.0,0.0833369036,0.2886813184,-0.009694373,-1.1926982684,0.0,0,0.0007826341,0
feature_10,float64,800,0,0.0,1.0,0.5217809315,0.5383992794,0.0,0.0890517959,0.2984154753,-0.0998059176,-1.2837226952,0.0,0,1.73061e-05,0
feature_11,float64,800,0,0.0,1.0,0.4913637996,0.4879836327,0.0,0.0839710798,0.2897776385,0.0472232909,-1.1831708688,0.0,0,0.0020721713,0
feature_12,float64,800,0,0.0,1.0,0.4888868729,0.4773276446,0.0,0.0798159008,0.2825170806,0.0510586485,-1.1355037111,0.0,0,0.0041310673,0
feature_13,float64,800,0,0.0,1.0,0.4923805324,0.4930493965,0.0,0.0849615811,0.2914816994,0.0746104427,-1.2100761292,0.0,0,0.000727162,0
feature_14,float64,800,0,0.0,1.0,0.4998191091,0.4930349128,0.0,0.0819896965,0.28633843,-0.0287208,-1.1925306504,0.0,0,0.0010562539,0
feature_15,float64,800,0,0.0,1.0,0.4876732113,0.4854511915,0.0,0.087804836,0.2963188081,0.0564694371,-1.2257446558,0.0,0,0.0013342471,0
feature_16,float64,800,0,0.0,1.0,0.4874301212,0.4674604871,0.0,0.0832821923,0.2885865422,0.0776668348,-1.1789167928,0.0,0,0.0020982481,0
feature_17,float64,800,0,0.0,1.0,0.511204287,0.5364747489,0.0,0.0857577055,0.2928441659,-0.0627343842,-1.2355012974,0.0,0,0.0009230282,0
feature_18,float64,800,0,0.0,1.0,0.5133015291,0.5204666058,0.0,0.0851365117,0.2917816165,-0.0588595286,-1.2097422546,0.0,0,0.0036341552,0
feature_19,float64,800,0,0.0,1.0,0.4882623384,0.4937536872,0.0,0.0837028459,0.2893144412,-0.0041467378,-1.2003833947,0.0,0,0.0023764915,0
target,float64,800,0,0.0,1.0,0.5299489043,0.5320393897,0.0,0.0353200981,0.1879364204,-0.0397635594,-0.5443070354,0.0041471903,0,0.5665096844,1
