Columna,Tipo,Valores únicos,Nulos,Min,Max,Media,Mediana,Moda,Varianza,Desv. Estándar,Sesgo,Curtosis,p-valor Shapiro,Es normal (Shapiro),p-valor KS,Es normal (KS)
feature_0,float64,800,0,-1.7265943242,1.7462706487,-0.0,0.0353585123,-1.7265943242,1.0012515645,1.0006255865,-0.0069014999,-1.2096519131,0.0,0,0.0006343944,0
feature_1,float64,800,0,-1.7654607441,1.7199673882,-0.0,0.0076030283,-1.7654607441,1.0012515645,1.0006255865,-0.0206249998,-1.1887772352,0.0,0,0.0007224954,0
feature_2,float64,800,0,-1.7969110916,1.6845398743,0.0,0.0520274203,-1.7969110916,1.0012515645,1.0006255865,-0.0955054319,-1.1973322768,0.0,0,0.000199129,0
feature_3,float64,800,0,-1.7950844495,1.6921535419,-0.0,0.0720874003,-1.7950844495,1.0012515645,1.0006255865,-0.127216857,-1.1606626663,0.0,0,0.0006124944,0
feature_4,float64,800,0,-1.7817010421,1.7033821017,0.0,0.0275105961,-1.7817010421,1.0012515645,1.0006255865,-0.0077621189,-1.1692163497,0.0,0,0.0043105282,0
feature_5,float64,800,0,-1.7291074336,1.7144591528,-0.0,0.0419830577,-1.7291074336,1.0012515645,1.0006255865,-0.0007971598,-1.2532703092,0.0,0,0.0001377606,0
feature_6,float64,800,0,-1.7537463011,1.6925570514,-0.0,-0.0003094284,-1.7537463011,1.0012515645,1.0006255865,-0.0070956229,-1.2246078116,0.0,0,0.0007561389,0
feature_7,float64,800,0,-1.6457326945,1.7965045853,0.0,-0.098185469,-1.6457326945,1.0012515645,1.0006255865,0.1264941389,-1.1551449981,0.0,0,0.0035619752,0
feature_8,float64,800,0,-1.7189181159,1.8039391384,0.0,-0.0588559682,-1.7189181159,1.0012515645,1.0006255865,0.0668641121,-1.1639500546,0.0,0,0.0031758923,0
feature_9,float64,800,0,-1.7638377767,1.7023566838,0.0,0.0322959793,-1.7638377767,1.0012515645,1.0006255865,-0.009694373,-1.1926982684,0.0,0,0.0007826341,0
feature_10,float64,800,0,-1.7495987771,1.6035302308,0.0,0.0557234646,-1.7495987771,1.0012515645,1.0006255865,-0.0998059176,-1.2837226952,0.0,0,1.73061e-05,0
feature_11,float64,800,0,-1.6967188795,1.7563618744,-0.0,-0.0116719891,-1.6967188795,1.0012515645,1.0006255865,0.0472232909,-1.1831708688,0.0,0,0.0020721713,0
feature_12,float64,800,0,-1.7315509314,1.8102723969,-0.0,-0.0409407444,-1.7315509314,1.0012515645,1.0006255865,0.0510586485,-1.1355037111,0.0,0,0.0041310673,0
feature_13,float64,800,0,-1.6902898535,1.7426034929,0.0,0.0022961391,-1.6902898535,1.0012515645,1.0006255865,0.0746104427,-1.2100761292,0.0,0,0.000727162,0
feature_14,float64,800,0,-1.7466457061,1.7479099729,0.0,-0.0237077516,-1.7466457061,1.0012515645,1.0006255865,-0.0287208,-1.1925306504,0.0,0,0.0010562539,0
feature_15,float64,800,0,-1.6468016197,1.7300531709,0.0,-0.0075034381,-1.6468016197,1.0012515645,1.0006255865,0.0564694371,-1.2257446558,0.0,0,0.0013342471,0
feature_16,float64,800,0,-1.6900824525,1.7772503588,0.0,-0.0692413675,-1.6900824525,1.0012515645,1.0006255865,0.0776668348,-1.1789167928,0.0,0,0.0020982481,0
feature_17,float64,800,0,-1.7467450237,1.670176681,-0.0,0.0863471899,-1.7467450237,1.0012515645,1.0006255865,-0.0627343842,-1.2355012974,0.0,0,0.0009230282,0
feature_18,float64,800,0,-1.7602981634,1.6690665736,0.0,0.0245716614,-1.7602981634,1.0012515645,1.0006255865,-0.0588595286,-1.2097422546,0.0,0,0.0036341552,0
feature_19,float64,800,0,-1.688708613,1.7699005819,-0.0,0.0189924295,-1.688708613,1.0012515645,1.0006255865,-0.0041467378,-1.2003833947,0.0,0,0.0023764915,0
target,float64,800,0,-2.821594835,2.5026823022,0.0,0.0111303236,-2.821594835,1.0012515645,1.0006255865,-0.0397635594,-0.5443070354,0.0041471903,0,0.5665096844,1
