Columna,Tipo,Valores únicos,Nulos,Min,Max,Media,Mediana,Moda,Varianza,Desv. Estándar,Sesgo,Curtosis,p-valor Shapiro,Es normal (Shapiro),p-valor KS,Es normal (KS)
feature_0,float64,800,0,-2.1437304327,1.5688332721,-0.0,0.1313196474,-2.1437304327,1.0012515645,1.0006255865,-0.2847511795,-1.0314418757,0.0,0,5.52055e-05,0
feature_1,float64,800,0,-2.1478530239,1.5619197005,-0.0,0.0959574381,-2.1478530239,1.0012515645,1.0006255865,-0.2827195588,-0.9987750563,0.0,0,0.0002570139,0
feature_2,float64,800,0,-2.130355322,1.5463269429,0.0,0.1272166357,-2.130355322,1.0012515645,1.0006255865,-0.316489595,-1.0262734048,0.0,0,1.31814e-05,0
feature_3,float64,800,0,-2.0849748825,1.5592552547,0.0,0.1408836114,-2.0849748825,1.0012515645,1.0006255865,-0.3347483801,-1.0095467211,0.0,0,9.2753e-05,0
feature_4,float64,800,0,-2.1898657375,1.5498960506,-0.0,0.1144642851,-2.1898657375,1.0012515645,1.0006255865,-0.2748954908,-0.9800923595,0.0,0,0.0002848841,0
feature_5,float64,800,0,-2.1651449383,1.543857158,0.0,0.1393740651,-2.1651449383,1.0012515645,1.0006255865,-0.267939805,-1.0851623961,0.0,0,0.0001209472,0
feature_6,float64,800,0,-2.1601701633,1.5348255451,-0.0,0.0930958224,-2.1601701633,1.0012515645,1.0006255865,-0.2746130143,-1.0263292806,0.0,0,0.0002990783,0
feature_7,float64,800,0,-2.1656252128,1.5725911894,-0.0,0.0322773823,-2.1656252128,1.0012515645,1.0006255865,-0.2614579026,-0.9320934446,0.0,0,0.0087880949,0
feature_8,float64,800,0,-2.1629376505,1.6094217529,-0.0,0.0477528039,-2.1629376505,1.0012515645,1.0006255865,-0.2460246177,-0.9784567707,0.0,0,0.0013000156,0
feature_9,float64,800,0,-2.1708028401,1.5463784525,-0.0,0.1216976712,-2.1708028401,1.0012515645,1.0006255865,-0.2676081507,-1.0397711683,0.0,0,0.0007463346,0
feature_10,float64,800,0,-2.0899876024,1.4680785753,-0.0,0.1392113351,-2.0899876024,1.0012515645,1.0006255865,-0.3271689106,-1.0868666783,0.0,0,3.029e-06,0
feature_11,float64,800,0,-1.9002571747,1.6224518987,0.0,0.0641070672,-1.9002571747,1.0012515645,1.0006255865,-0.148904535,-1.1309002647,0.0,0,0.0038684356,0
feature_12,float64,800,0,-2.1731572868,1.6159301283,0.0,0.0621926483,-2.1731572868,1.0012515645,1.0006255865,-0.2633293002,-0.9461872135,0.0,0,0.0124978023,0
feature_13,float64,800,0,-2.1766076212,1.5503229456,-0.0,0.1158451463,-2.1766076212,1.0012515645,1.0006255865,-0.2386657596,-1.0618345546,0.0,0,0.0009341945,0
feature_14,float64,800,0,-2.0256424085,1.6009032019,-0.0,0.0570729443,-2.0256424085,1.0012515645,1.0006255865,-0.2535628269,-1.0500804171,0.0,0,0.0001362349,0
feature_15,float64,800,0,-2.0954923318,1.5301305028,0.0,0.1116626018,-2.0954923318,1.0012515645,1.0006255865,-0.2739183605,-1.0417453974,0.0,0,0.0005443522,0
feature_16,float64,800,0,-2.1430379454,1.5796746316,0.0,0.0448613786,-2.1430379454,1.0012515645,1.0006255865,-0.2466126343,-1.0016090471,0.0,0,0.0012643444,0
feature_17,float64,800,0,-2.0743666607,1.5259413325,0.0,0.1670924094,-2.0743666607,1.0012515645,1.0006255865,-0.2937856549,-1.0761683184,0.0,0,0.0001240804,0
feature_18,float64,800,0,-2.0291003958,1.5417082736,0.0,0.0993207391,-2.0291003958,1.0012515645,1.0006255865,-0.2647056372,-1.0803009088,0.0,0,0.0019315876,0
feature_19,float64,800,0,-2.1087020223,1.5711708201,0.0,0.1241575794,-2.1087020223,1.0012515645,1.0006255865,-0.3135160073,-0.9949853014,0.0,0,0.0003611614,0
target,float64,800,0,-2.8842223467,2.47640584,0.0,0.0168284771,-2.8842223467,1.0012515645,1.0006255865,-0.0666790078,-0.5268538946,0.004236548,0,0.5088215701,1
