num_features,mae,rmse
1,0.16031546206400613,0.19419052025546896
2,0.11624578352813837,0.14923136768907835
3,0.0851807574767298,0.10820007456822454
4,0.0768056512538348,0.09291570174265822
5,0.06494130994445746,0.08162517698783865
6,0.0668175557588922,0.08368948751389661
7,0.06815638500048958,0.08524010843856071
8,0.06942730910137315,0.08733039131550122
9,0.06966031617135468,0.08817274314320178
10,0.07069298964348515,0.08894662181438935
11,0.07164702496117742,0.09022619765031141
12,0.07178949807623462,0.09094027079136545
13,0.07196502882389497,0.09099058573522592
14,0.07230758019500096,0.09106492720833323
15,0.07310117848345114,0.09142643598850232
16,0.07338795311711835,0.09180282771341049
17,0.07390680920267505,0.0927490143003225
18,0.07460375362188142,0.09342292142486686
19,0.07479956711040915,0.09391629240704166
20,0.07570265275484939,0.09440786542648594
