num_features,mae,rmse
1,4.341500433874958,5.258870336580026
2,3.136026377065735,4.028532293493663
3,2.3016870895158115,2.9244207126146766
4,2.073745399130094,2.5040732120734495
5,1.757028756110278,2.2083481441773154
6,1.7964678140842358,2.2571606339858272
7,1.8404981426712592,2.3125112021885923
8,1.8651415511788172,2.3432386451598934
9,1.8908602075029224,2.387774196959177
10,1.907604718169213,2.4021846458978997
11,1.9169314182504877,2.4199015767014522
12,1.9326278284411311,2.417751124175725
13,1.9401923180087253,2.4354661927334837
14,1.949408913231308,2.4508698008129883
15,1.971378828550882,2.4788565165242478
16,1.987102378442156,2.5021990618423775
17,1.9963709839046624,2.5062331380912024
18,2.0287436909891943,2.541069232713901
19,2.0155379056299894,2.5284282021737257
20,2.0440919257383063,2.560338400817949
