num_features,mae,rmse
1,0.8531882976919647,1.0332196906379751
2,0.6194162352479237,0.7937131978408772
3,0.4515971106093012,0.5747543542668573
4,0.4090085422879071,0.4933619746010865
5,0.34369636247952656,0.4309371472112037
6,0.34642406564719125,0.4360234106329786
7,0.35690694057365124,0.4481292759731334
8,0.3619191605998531,0.4570611449568507
9,0.3655165047920382,0.4637501507455407
10,0.3734874633294883,0.4694173232711212
11,0.3773743659661433,0.479027357634518
12,0.3778292077107037,0.4809675462902507
13,0.37793538815492145,0.47622405907944515
14,0.3812606589191089,0.48073663658934307
15,0.3837507343089722,0.4856766839823995
16,0.3841223764721917,0.4845410051904309
17,0.3917409526527256,0.49340140857240966
18,0.39313190997137437,0.4945079753789411
19,0.3966417505424177,0.49733355635489757
20,0.39621352372086527,0.49859068518068655
